VendorID,CompanyName,Industry,Country,Revenue_USD,NetIncome_USD,TotalDebt_USD,TotalEquity_USD,CurrentAssets_USD,CurrentLiabilities_USD,QuickAssets_USD,CreditScore,YearsInBusiness,LastAuditYear,AuditResult,ISO_Certified,Employees
V001,Nexus Supply Co.,Manufacturing,USA,4500000,320000,1800000,2200000,950000,420000,710000,740,12,2024,Clean,Yes,87
V002,BluePeak Logistics,Logistics,Germany,12000000,850000,5500000,6800000,3200000,1400000,2900000,780,18,2024,Clean,Yes,210
V003,Redstone Materials,Raw Materials,China,2800000,-150000,2600000,980000,700000,620000,410000,580,4,2023,Qualified,No,42
V004,Apex Tech Supplies,Technology,India,7200000,540000,2100000,4500000,2800000,900000,2600000,720,9,2024,Clean,Yes,135
V005,Orion Packaging Ltd.,Packaging,UK,3100000,210000,1200000,1750000,890000,380000,720000,695,7,2024,Clean,Yes,61
V006,ShadeCraft Industries,Textile,Bangladesh,1900000,80000,1700000,920000,610000,590000,480000,530,3,2022,Adverse,No,33
V007,Crestline Chemicals,Chemicals,USA,9800000,720000,3200000,5400000,4100000,1600000,3800000,770,22,2024,Clean,Yes,178
V008,Harbor Freight Systems,Logistics,Mexico,5500000,310000,2900000,3100000,1800000,820000,1600000,660,6,2023,Qualified,No,94
V009,ClearPath Solutions,Consulting,Netherlands,2200000,195000,400000,1600000,750000,280000,720000,810,14,2024,Clean,Yes,28
V010,Ironclad Steel Works,Manufacturing,Brazil,18000000,950000,8500000,9200000,5100000,3200000,4200000,700,25,2023,Clean,Yes,320
